"X","Date","User","Tweet","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","sent.value","sent2.value","class"
0,"2019-05-22 23:49:53+00:00","jensee28","Will it be Modi again? I hope you have chosen well India 🇮🇳 #ElectionResults2019
#NarendraModi
 #loksabhaelections2019",0,1,0,0,1,0,1,1,0,2,1.9,1,"Postive"
1,"2019-05-22 23:09:13+00:00","jftaveira1993","#India begins counting hundreds of millions of votes in its general election on Thursday, with a coalition led by Prime Minister #NarendraModi’s party already preparing to form the next government. https://t.co/djC2uY4nCA #IndiaElections2019",0,0,0,1,0,0,0,1,1,3,0.5,1,"Postive"
2,"2019-05-22 23:08:31+00:00","Mai_Shivam","Please accept the warmest congratulations from the defence Forces ( specially BSF) sir. You have done a lot for us. Your presence boosts our moral. We hope our best under your guidance. Best wishes for another tenure. JAI HIND SIR #NarendraModi",1,1,0,0,1,0,1,4,0,5,6.05,1,"Postive"
3,"2019-05-22 23:05:15+00:00","honnasiri","@davidfickling this is what is known in India as the #Gujurat Model. Built to fail. In this case, it got our present PM #NarendraModi  elected. Adani needed to dump his cash somewhere maybe, which is why it still makes sense to some people. https://t.co/mEECwU50IL",1,2,0,2,2,1,1,2,1,4,-0.2,0,"Negative"
4,"2019-05-22 22:55:00+00:00","JonathanLeger","""Lama Zopa &amp; FPMT promoted/protected this Dagri Rinpoche. Woman on video bravely speaks out about her molestation by Dagri Rinpoche. Shame! Why is FPMT silent?

https://t.co/FJPX3MnY5l

#NarendraModi #Indians #Indian #Mumbai #Lucknow #Kerala #Karnataka #Delhi #Chennai "" https://t.co/7ED0CVolgS",1,0,2,2,0,2,0,0,2,0,-0.5,0,"Negative"
5,"2019-05-22 22:49:38+00:00","tao_jung","Nuns call for independent investigation of FPMT’s sex scandal cover ups
https://t.co/aMQnsIrxCX
#Kathmandu #IndiaGreat #NarendraModi #Indians #Indian #Mumbai #Lucknow #Kerala #Karnataka #Delhi #Chennai #dagririnpoche #rinpoche #lama #sexscandal #scandal #sexabuse #kadampa https://t.co/ob3sFUHJPX",0,2,0,1,1,0,0,2,1,1,-0.9,0,"Negative"
6,"2019-05-22 22:09:10+00:00","abdulsaligan","Today India's fest &amp; harvest day.  Who's purging? Thus ready get to harvester. ""For never &amp; ever give up"" #TodayElectionResult #IndianElection2019 #RahulGandhi #NarendraModi #IndiaParlimentElection https://t.co/9E35yt6BBB",0,2,0,0,1,0,0,0,0,1,1.4,1,"Postive"
7,"2019-05-22 22:08:46+00:00","SachinIndia5","Indian Economy To Grow 7.1% In 2019-20: UN Report
@narendramodi @PMOIndia @SushmaSwaraj @MEAIndia
@FinMinIndia
#NarendraModi #NDAGovt https://t.co/Q23sKoZmNS",0,1,0,0,1,0,0,2,0,1,0.8,1,"Postive"
8,"2019-05-22 21:52:34+00:00","nittin_bagga","Congratulations Modi ji for becoming our  prime minister again 2019-2024, May God gives u all the energy to becoming our prime minister thousand years i tweet this before pm result because i know u will WIN Tomorrow is our FUTURE🇮🇳#ModiAgain @narendramodi #narendramodi",0,3,0,1,1,0,0,1,0,2,1.35,1,"Postive"
9,"2019-05-22 21:37:15+00:00","Singhlikeme","5 more hours to go. #BJP #IndiaWithEC #RahulGandhi #NarendraModi @INCIndia @BJP4India @RahulGandhi @narendramodi @indiatvnews",0,0,0,0,0,0,0,0,0,0,0,0,"Neutral"
10,"2019-05-22 21:28:38+00:00","ratsyp1","#itvnews at Ten, at least get the name right when delivering the news on the largest democracy!!!  It is #NarendraModi not Nahendra* ...tch! tch! Unprofessional!",0,0,0,0,0,0,0,0,0,1,0.2,1,"Postive"
11,"2019-05-22 21:21:58+00:00","RehanKatrawale","23 May today !! 
Time for Election results... !! I've never been so eager for election results before... 
#KingAbhishek #elections #Elections2019 #2019elections #loksabhaelections2019 #narendramodi #electionresults… https://t.co/J5Ei4XmtcW",0,2,0,0,1,0,1,1,0,1,1,1,"Postive"
12,"2019-05-22 21:04:55+00:00","SachinIndia5","@TheAhmedShariff @RupakalaKamath #SabkaSaathSabkaVikas Only Under #NDAGovt #NarendraModi",0,0,0,0,0,0,0,0,0,0,0,0,"Neutral"
13,"2019-05-22 21:02:17+00:00","SachinIndia5","Election Results Watch Pin #USA Are Taking Place In Texas, Illinois, Massachusetts, Florida, Washington DC, Virginia, California and Other States, Mostly With Large Populations of #IndianAmericans
#LoksabhaElections2019
@friendsofbjp #NarendraModi
https://t.co/a6HYzCp2Xo",0,1,0,1,0,0,0,0,0,0,0.25,1,"Postive"
14,"2019-05-22 21:00:29+00:00","Siliconeer","2019 #India Lok Sabha Polls: Latest Election News
https://t.co/Q0LBLDjEWr
#@Twitter ##BJP #2019LokSabhaElections #Congress #ECI #India #LatestNews #NarendraModi #PIB #RahulGandhi #Siliconeer https://t.co/ANFP9lNbXl",0,0,1,0,0,0,0,1,0,0,0,0,"Neutral"
15,"2019-05-22 20:42:38+00:00","SaumilBJYM",".@OfficialUrmila get ready for the defeat as 23rd May is going to be MODI DAY and Gopal Shetty day @iGopalShetty 

#NaMoForNewIndia #ApnaModiAayega #AmitShah #JeetegaToModiHi #Modi
#DeshKaGauravModi #NarendraModi",0,1,0,0,0,0,0,0,1,0,0,0,"Neutral"
