"X","Date","User","Tweet","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","sent.value","sent2.value","class"
0,"2019-05-22 23:55:14+00:00","rasikv","Hard working Quiet Australians middle class rejected 'Tax and Spend' policy causing massive defeat of #labor ! Looks like #NYAY scheme of #RahulGandhi is going to meet a similar fate resulting in #ModiAaRahaHai and not #आ_रही_है_कांग्रेस !!
#AcceptTheVerdict #ElectionResults2019",0,2,0,0,1,2,1,2,5,3,-2.05,0,"Negative"
1,"2019-05-22 23:40:57+00:00","AnsariPazverkad","@News18TamilNadu #RahulGandhi Become a Prime Minister of India @RahulGandhi
#MKStalin is kingMaker of India",0,0,0,0,0,0,0,0,0,1,0.1,1,"Postive"
2,"2019-05-22 23:40:38+00:00","AnsariPazverkad","@News18TamilNadu #RahulGandhi Become a Prime Minister of India @RahulGandhi
#MKStalin is kingMaker of India",0,0,0,0,0,0,0,0,0,1,0.1,1,"Postive"
3,"2019-05-22 23:39:44+00:00","AnsariPazverkad","#RahulGandhi Become a Prime Minister of India @RahulGandhi
#MKStalin is kingMaker of India",0,0,0,0,0,0,0,0,0,1,0.1,1,"Postive"
4,"2019-05-22 23:38:33+00:00","AnsariPazverkad","#RahulGandhi Become a Prime Minister of India @RahulGandhi",0,0,0,0,0,0,0,0,0,1,0.1,1,"Postive"
5,"2019-05-22 23:30:05+00:00","NewIndianXpress","#ExitPoll2019 have put a question mark on the victory of #RahulGandhi and BJP workers are already celebrating in Amethi. This is one of the most keenly contested seats in the country. 
#Results2019 
https://t.co/nT1Jx8fSCr",0,2,0,0,2,0,0,1,0,3,2.55,1,"Postive"
6,"2019-05-22 23:20:47+00:00","ramchandani2000","#RahulGandhi did not catch any CHOR today",0,0,0,0,0,0,1,0,0,0,0,0,"Neutral"
7,"2019-05-22 22:45:57+00:00","chintan1310","Kids result to be out in few hours, parents are requested not to be emotional and maintain their sanity and anxiety levels #AcceptTheVerdict #ElectionResults2019 #CountingDay #Namo_Again #RahulGandhi #Mayawati https://t.co/I58Lv5c4Xm",1,2,0,1,0,1,0,0,1,0,-1,0,"Negative"
8,"2019-05-22 22:43:34+00:00","Muskaan016","Opposition are such sore losers.Had no agenda,r corrupt to the core.
Everyone knows #RahulGandhi is not fit2be PM.Their was no reason 2vote these corrupt bunch
To cast aspersions on a well deserved victory they r😭about #EVMs #AcceptTheVerdict
#ModiAaRahaHai 
#ElectionResults2019 https://t.co/LXU2OC8lvv",3,2,0,0,2,2,1,2,4,5,0.2,1,"Postive"
9,"2019-05-22 22:09:10+00:00","abdulsaligan","Today India's fest &amp; harvest day.  Who's purging? Thus ready get to harvester. ""For never &amp; ever give up"" #TodayElectionResult #IndianElection2019 #RahulGandhi #NarendraModi #IndiaParlimentElection https://t.co/9E35yt6BBB",0,2,0,0,1,0,0,0,0,1,1.4,1,"Postive"
10,"2019-05-22 21:49:41+00:00","Real_Bluff","Who will Win ?

#ElectionResults2019 #Congress #BJP
#IndiaElection2019 #ExitPoll2019 #Elections2019 #ModiAaRahaHai #RahulGandhi",0,0,1,0,0,0,0,1,0,0,0.5,1,"Postive"
11,"2019-05-22 21:37:15+00:00","Singhlikeme","5 more hours to go. #BJP #IndiaWithEC #RahulGandhi #NarendraModi @INCIndia @BJP4India @RahulGandhi @narendramodi @indiatvnews",0,0,0,0,0,0,0,0,0,0,0,0,"Neutral"
12,"2019-05-22 21:25:28+00:00","ramchandani2000","once upon a time #RahulGandhi was director of a company",0,1,0,0,0,0,0,1,0,1,0.25,1,"Postive"
13,"2019-05-22 21:22:50+00:00","ramchandani2000","#RahulGandhi drinks SHIKANJI only once in a day",0,0,0,0,0,0,0,0,0,0,0,0,"Neutral"
14,"2019-05-22 21:21:11+00:00","unofficialvikas","I don't know what happening today..???
नमो ।। नमामि ।। या फिर koi aur 🤔
#vikashpatelrewa 
#back_vik 
unbeatable_zindagi_2.0 
#narendra_modi #rahulgandhi #loksabhaelections #results @ India https://t.co/imtidMN4Dj",0,0,0,0,0,0,0,0,0,0,0.25,1,"Postive"
15,"2019-05-22 21:17:08+00:00","iabhinavshukla","@BrijeshPatadiy1 Why, are you seeking to see #RahulGandhi as a #pm",0,0,0,0,0,0,0,0,0,0,0,0,"Neutral"
16,"2019-05-22 21:14:43+00:00","SandhuDevinder","Congrats PM RAGA #2019 #RahulGandhi",0,0,0,0,0,0,0,0,0,0,1,1,"Postive"
17,"2019-05-22 21:08:19+00:00","Kumar95236423","UPA AND MAHA gathabandhan get ready to compromise within yourself,  NDA short of 15 seats for majority,  all exit polls will prove wrong in next few hours,  #AbkiBaarKiskiSarkar #Congress #ElectionsWithNews18 #AajTakExitPoll #RahulGandhi",0,1,1,0,1,0,0,2,1,2,0.9,1,"Postive"
18,"2019-05-22 21:00:29+00:00","Siliconeer","2019 #India Lok Sabha Polls: Latest Election News
https://t.co/Q0LBLDjEWr
#@Twitter ##BJP #2019LokSabhaElections #Congress #ECI #India #LatestNews #NarendraModi #PIB #RahulGandhi #Siliconeer https://t.co/ANFP9lNbXl",0,0,1,0,0,0,0,1,0,0,0,0,"Neutral"
